Question,Acurracy global,Precision_0,Recall_0,F1_score_0,Support_0,Precision_1,Recall_1,F1_score_1,Support_1,Precision_2,Recall_2,F1_score_2,Support_2
0,64.1025641025641,0.5,0.8181818181818182,0.6206896551724137,11,0.7,0.5,0.5833333333333334,14,0.8181818181818182,0.6428571428571429,0.7200000000000001,14
"3,4,9,11,12,14,21,24,25,26,29,30,44,49,50,51,54,59,60,62,63,66,68,75,77,78,80,85,86,89,91,93,94,95,96,102",38.46153846153847,0.3888888888888889,0.6363636363636364,0.4827586206896552,11,0.3076923076923077,0.2857142857142857,0.29629629629629634,14,0.5,0.2857142857142857,0.36363636363636365,14
"3,4,5,9,11,12,14,18,21,24,25,26,29,30,32,44,49,50,51,54,59,60,62,63,66,68,75,77,78,80,81,85,86,88,89,91,93,94,95,96,102",38.46153846153847,0.25,0.2727272727272727,0.2608695652173913,11,0.25,0.21428571428571427,0.23076923076923075,14,0.6,0.6428571428571429,0.6206896551724138,14
